,Nome,Turno,2018,2019,2020,2021,2022
75,ODONTOLOGIA,Matutino,723.22,738.84,732.5,742.58,743.24
76,PEDAGOGIA,Matutino,668.2,668.78,655.64,646.9,641.02
77,PEDAGOGIA,Noturno,646.52,666.02,661.38,658.7,643.3
78,PSICOLOGIA,Matutino,709.38,735.02,722.72,734.6,745.06
79,PUBLICIDADE E PROPAGANDA,Matutino,708.02,732.96,711.58,722.76,717.02
80,QUÍMICA,Matutino,708.96,717.26,681.12,710.16,701.74
81,QUÍMICA,Noturno,699.58,688.92,680.5,684.4,669.94
82,QUÍMICA TECNOLÓGICA,Noturno,690.56,694.32,688.8,680.46,668.6
83,RADIOLOGIA,Noturno,653.78,659.5,665.62,646.78,649.76
84,RELAÇÕES ECONÔMICAS INTERNACIONAIS,Noturno,710.42,728.58,722.08,724.92,727.98
85,RELAÇÕES PÚBLICAS,Matutino,700.02,723.12,701.54,704.86,714.14
86,SISTEMAS DE INFORMAÇÃO,Noturno,709.1,728.7,734.68,738.38,740.24
87,TERAPIA OCUPACIONAL,Matutino,667.38,678.58,679.74,670.74,666.94
88,TURISMO,Matutino,661.94,670.08,643.82,648.6,630.64
89,ZOOTECNIA,Matutino,647.76,,632.06,626.86,635.6
